ds,orig,IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,res
2017-04-09 06:00:00,85694.0,-9.249476228714816,-10.446169227590634,11.413057108881265,-146.0662225488113,432.94906072357594,7.623332050489929,-9.773172077921235,-101.90559543057547,85519.45518563066,0.0
2017-04-09 09:00:00,85550.0,-83.4695107885566,-58.665812645376896,-10.137918312283796,-143.09857774030434,422.7672149248709,12.28963680373097,-6.456447108811326,-102.68809541929672,85519.45951028603,0.0
2017-04-09 12:00:00,85620.0,7.269995503938077,-65.91130024260978,-26.177665696818842,-134.27768174248993,409.3301374120852,16.91621241756753,-3.1426306471580556,-103.47088050344333,85519.46381349892,1.4551915228366852e-11
2017-04-09 15:00:00,85718.0,82.47206036642086,-42.192495459939025,-31.87302407354898,-120.16838728846649,392.8833051331627,21.49680751716441,0.16759568159474067,-104.25395715342796,85519.46809527704,0.0
2017-04-09 18:00:00,85758.0,71.0855403384663,-0.975715562935267,-28.1293727027454,-101.6310592729003,373.71686243177766,26.02517072819018,3.4735502518468824,-105.03733184013231,85519.47235562843,-1.4551915228366852e-11
2017-04-09 21:00:00,85670.0,-81.62702439484319,45.456384786840154,-17.182678029905627,-79.69282165493877,352.12095365198644,30.495050676000726,6.774551438067675,-105.82101103407324,85519.47659456085,0.0
2017-04-10 00:00:00,85788.0,-8.392695596376788,66.81075287569648,-1.2411604011578068,-55.40854449287287,328.38572313755026,34.90019598616039,10.06991761479591,-106.6050012059587,85519.48081208215,1.4551915228366852e-11
2017-04-10 03:00:00,85892.0,82.18906038800063,54.81663722230906,17.33706318810046,-29.833097845115166,302.8013152325602,39.23435528379924,13.35896715657038,-107.38930882640983,85519.48500820018,0.0
2017-04-10 06:00:00,85794.0,1.1531070913942767,14.348470286637141,35.41436192200157,-4.0213517698523855,275.6578742806385,43.4912771946727,16.64101843777353,-108.17394036609986,85519.48918292284,-1.4551915228366852e-11
2017-04-10 09:00:00,85676.0,-85.08875966939854,-34.22664220919889,48.98349943900845,20.971823674398678,247.24554462573732,47.664710344258246,19.915389832978896,-108.95890229573672,85519.49333625795,0.0
2017-04-10 12:00:00,85748.0,11.138431644019265,-63.624843040296795,53.857312153253844,44.09174746435147,217.85428157680448,51.748403357685945,23.18139971667316,-109.74420108594155,85519.49746821345,0.0
2017-04-10 15:00:00,85820.0,90.31013981869046,-60.208746754034735,46.55425811944231,64.42603224128662,187.77210966093784,55.73610486069386,26.438366463290876,-110.52984320735281,85519.50157879705,1.4551915228366852e-11
2017-04-10 18:00:00,85810.0,69.13172433302901,-22.618510663578295,27.078985936198873,81.62866669048258,157.28212889181128,59.62156347863787,29.68560844726661,-111.31583513050478,85519.50566801665,1.4551915228366852e-11
2017-04-10 21:00:00,85654.0,-96.90329777809713,26.21674991157055,-1.2034182309724408,95.498737805997,126.66270385747092,63.3985278369086,32.92244404327813,-112.1021833263486,85519.5097358802,-1.4551915228366852e-11
2017-04-11 00:00:00,85800.0,66.11918369641951,56.33047295796564,-34.311014698798076,105.85164258314141,96.17588914443114,67.06074656096618,36.14819162565576,-112.88889426534904,85519.51378239556,1.4551915228366852e-11
2017-04-11 03:00:00,85782.0,103.34903944880573,52.23376601778025,-67.97529382075953,112.5210057524975,66.0655116040925,70.60196827637493,39.3621695689383,-113.67597441821408,85519.51780757048,1.4551915228366852e-11
2017-04-11 06:00:00,85562.0,-31.028399812279364,15.549392456021483,-96.0748617895457,115.36961788834154,36.54623224407413,74.01594160849076,42.56369624757768,-114.46343025553008,85519.52181141285,0.0
2017-04-11 09:00:00,85402.0,-108.03793469754436,-27.37911426884947,-111.99896357190157,114.31571083769336,7.777270799268909,77.29641518273904,45.75209003613007,-115.25126824809186,85519.52579393056,1.4551915228366852e-11
2017-04-11 12:00:00,85442.0,-19.422013008505534,-51.49442085949693,-109.12964525022932,109.34260665982468,-20.150594740240066,80.43713762454513,48.92666930909951,-116.0394948663642,85519.52975513137,0.0
2017-04-11 15:00:00,85572.0,109.66148902312796,-46.16741814864839,-83.0368143330983,100.48837772148828,-47.16982270526016,83.43185755947337,52.08675244078159,-116.8281165811419,85519.53369502327,0.0
2017-04-11 18:00:00,85534.0,20.298783783455743,-6.373951132391811,-38.19290924860514,88.05674083360034,-73.21511940589198,86.27432361289704,55.23165780595831,-117.61713986315031,85519.53761361414,0.0
2017-04-11 21:00:00,85474.0,-107.52308872720721,40.220633802588466,18.32511512207381,72.74460303662042,-98.22119115201033,88.95828441029359,58.36070377882102,-118.4065711828021,85519.54151091163,0.0
2017-04-12 00:00:00,85632.0,4.706984973984092,61.44066148320211,79.33949167347907,55.33593889887129,-122.12274425347265,91.47748857701895,61.47320873409961,-119.19641701092681,85519.54538692375,-1.4551915228366852e-11
